1	10	5	5	1	7	0
2	5	1	4	3	8	0
3	3	1	2	0	9	0
4	3	0	3	0	7	0
5	4	2	2	0	6	0
6	9	2	7	1	6	0
7	1	0	1	1	18	0
8	0	0	0	0	27	0
9	15	0	15	3	10	0
10	1	0	1	0	8	0
11	2	1	1	0	7	0
12	0	0	0	0	11	0
13	0	0	0	1	12	0
14	0	0	0	0	8	0
15	0	0	0	0	18	0
16	0	0	0	0	9	0
17	0	0	0	0	2	0
18	0	0	0	0	9	0
19	0	0	0	0	10	0
20	0	0	0	0	13	0
21	0	0	0	0	3	0
22	2	0	2	0	8	0
23	0	0	0	0	13	0
24	2	2	0	0	12	0
25	2	1	1	1	13	0
26	6	5	1	0	9	0
27	14	5	9	3	16	0
28	17	5	12	0	9	0
29	30	6	24	4	9	0
30	86	29	57	6	11	0
31	18	7	11	0	7	0
32	37	18	19	6	11	0
33	22	10	12	2	11	0
34	30	13	17	0	8	0
35	35	7	28	1	16	0
36	26	8	18	3	13	0
37	9	5	4	7	9	0
38	38	8	30	5	16	0
39	24	6	18	2	17	0
40	47	1	46	6	20	0
41	43	2	41	9	29	0
42	20	4	16	5	13	0
43	15	4	11	2	9	0
44	15	1	14	1	17	0
45	7	2	5	0	11	0
46	14	1	13	2	28	0
47	23	0	23	11	11	0
48	10	3	7	7	16	0
49	11	2	9	4	18	0
50	1	1	0	1	15	0
51	3	0	3	0	11	0
52	3	0	3	0	18	0
53	24	9	15	3	31	1
54	18	3	15	1	24	0
55	12	3	9	4	20	0
56	20	11	9	2	35	0
57	19	4	15	2	21	0
58	23	12	11	1	30	0
59	12	1	11	1	21	0
60	9	6	3	4	14	0
61	19	8	11	1	19	0
62	30	2	28	2	36	0
63	28	8	20	5	21	0
64	21	7	14	1	26	0
65	11	4	7	0	13	0
66	11	0	11	3	8	0
67	11	4	7	0	32	0
68	11	4	7	0	47	0
69	3	3	0	0	24	0
70	0	0	0	0	41	0
71	0	0	0	0	20	0
72	4	0	4	0	26	0
73	0	0	0	0	35	0
74	0	0	0	0	26	0
75	6	1	5	2	15	0
76	19	3	16	3	20	0
77	18	4	14	0	19	0
78	16	6	10	1	9	0
79	9	1	8	1	22	0
80	12	1	11	2	31	0
81	12	0	12	3	23	0
82	3	1	2	1	38	0
83	4	0	4	1	25	0
84	5	1	4	1	24	0
85	2	0	2	2	18	0
86	5	0	5	0	12	0
87	5	0	5	0	22	0
88	5	0	5	2	18	0
89	15	1	14	12	15	0
90	22	0	22	5	23	0
91	19	2	17	2	19	0
92	29	3	26	9	7	0
93	17	1	16	1	10	0
94	7	1	6	0	31	0
95	5	0	5	0	19	0
96	15	0	15	0	36	0
97	2	0	2	0	20	0
98	5	2	3	0	20	0
99	2	0	2	0	10	0
100	6	2	4	3	32	0
101	1	0	1	0	13	0
102	4	1	3	0	19	0
103	0	0	0	0	12	0
104	1	0	1	0	11	0
105	5	0	5	0	22	0
106	0	0	0	0	11	0
107	2	0	2	0	15	0
108	0	0	0	8	23	0
109	2	0	2	1	22	0
110	2	0	2	0	11	0
111	0	0	0	0	13	0
112	2	1	1	0	14	0
113	1	0	1	0	11	0
114	1	1	0	0	15	0
115	1	1	0	2	4	0
116	1	0	1	0	10	0
117	2	0	2	2	9	0
118	1	1	0	0	3	0
119	0	0	0	0	15	0
120	2	0	2	0	9	0
121	7	1	6	0	17	0
122	1	0	1	2	17	0
123	3	0	3	2	21	0
124	2	1	1	3	17	0
125	1	0	1	0	19	0
126	1	0	1	0	3	0
127	1	0	1	0	4	0
128	0	0	0	0	8	0
129	1	1	0	0	13	0
130	3	0	3	0	4	0
131	1	0	1	0	10	0
132	4	0	4	0	13	0
133	3	0	3	1	11	0
134	7	1	6	0	7	0
135	4	1	3	1	9	0
136	5	0	5	0	10	0
137	11	0	11	0	9	0
138	61	9	52	4	13	0
139	86	4	82	6	17	0
140	88	7	81	6	13	0
141	78	15	63	3	15	0
142	28	1	27	0	10	0
143	29	3	26	2	15	1
144	17	4	13	3	15	0
145	12	0	12	1	14	0
146	19	1	18	1	20	0
147	33	2	31	0	12	0
148	12	0	12	7	19	0
149	35	2	33	7	7	0
150	5	1	4	0	11	0
151	2	0	2	1	15	0
152	9	1	8	2	10	2
153	32	4	28	1	11	2
154	32	0	32	4	12	0
155	6	2	4	1	11	0
156	0	0	0	0	10	0
157	3	1	2	0	10	0
158	11	0	11	3	22	0
159	2	1	1	2	8	0
160	4	0	4	2	4	0
161	1	0	1	1	7	0
162	3	0	3	0	8	0
163	7	0	7	0	8	0
164	6	2	4	0	11	0
165	2	0	2	0	11	0
166	7	1	6	2	12	0
167	2	0	2	0	15	0
168	1	1	0	0	14	0
169	8	0	8	1	16	0
170	11	0	11	1	11	0
171	1	0	1	3	8	0
172	0	0	0	4	6	0
173	6	1	5	3	17	0
174	0	0	0	0	8	0
175	5	1	4	2	10	0
176	3	0	3	1	13	0
177	4	3	1	2	21	0
178	3	0	3	4	9	0
179	1	0	1	1	9	0
180	1	0	1	0	12	0
181	7	5	2	1	5	0
182	1	0	1	1	7	0
183	7	3	4	3	13	0
184	4	0	4	2	5	0
185	3	2	1	0	6	0
186	10	1	9	0	9	0
187	13	3	10	0	8	0
